1024_128_256_512 | Start: 2025-04-15 14:14:18 | End: 7060s
1024_256_256_512 | Start: 2025-04-15 16:29:50 | End: 12548s
1024_128_512_256 | Start: 2025-04-15 21:37:49 | End: 1591s
1024_256_512_256 | Start: 2025-04-15 22:13:00 | End: 1707s
1024_512_512_256 | Start: 2025-04-15 22:49:35 | End: 2100s
2048_128_512_256 | Start: 2025-04-15 23:32:33 | End: 2099s
2048_256_512_256 | Start: 2025-04-16 00:15:57 | End: 1810s
2048_512_512_256 | Start: 2025-04-16 00:54:12 | End: 2188s
4096_128_512_256 | Start: 2025-04-16 01:39:08 | End: 2517s
4096_256_512_256 | Start: 2025-04-16 02:29:49 | End: 2621s
4096_512_512_256 | Start: 2025-04-16 03:22:09 | End: 2791s
